Reporter Identifier	Reporter Name
AM04933	GB12314-RA [PREDICTED: Apis mellifera similar to CG31534-PA, isoform A (LOC551558), mRNA]
AM04933	GB12314-RA [PREDICTED: Apis mellifera similar to CG31534-PA, isoform A (LOC551558), mRNA]
AM11258	GB18697-RA
AM11258	GB18697-RA
AM11240	GB18679-RA [PREDICTED: Apis mellifera similar to armadillo repeat containing 3 (LOC725288), mRNA]
AM11240	GB18679-RA [PREDICTED: Apis mellifera similar to armadillo repeat containing 3 (LOC725288), mRNA]
AM05804	GB13196-RA [PREDICTED: Apis mellifera similar to CG13654-PA (LOC551619), partial mRNA]
AM05804	GB13196-RA [PREDICTED: Apis mellifera similar to CG13654-PA (LOC551619), partial mRNA]
AM05866	GB13259-RA
AM05866	GB13259-RA
AM03683	GB11059-RA [PREDICTED: Apis mellifera similar to Retinoid- and fatty-acid binding protein CG11064-PA, transcript variant 1 (LOC408961), mRNA]
AM03683	GB11059-RA [PREDICTED: Apis mellifera similar to Retinoid- and fatty-acid binding protein CG11064-PA, transcript variant 1 (LOC408961), mRNA]
AM07894	GB15304-RA [PREDICTED: Apis mellifera similar to CG13349-PA, isoform A (LOC413299), mRNA]
AM07894	GB15304-RA [PREDICTED: Apis mellifera similar to CG13349-PA, isoform A (LOC413299), mRNA]
AM05424	GB12809-RA [PREDICTED: Apis mellifera similar to Actin-5C (LOC725739), partial mRNA]
AM05424	GB12809-RA [PREDICTED: Apis mellifera similar to Actin-5C (LOC725739), partial mRNA]
AM05895	GB13288-RA [PREDICTED: Apis mellifera similar to R04B5.5 (LOC727240), partial mRNA]
AM05895	GB13288-RA [PREDICTED: Apis mellifera similar to R04B5.5 (LOC727240), partial mRNA]
AM01172	DB762253 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10026H19 3', mRNA sequence
AM01172	DB762253 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10026H19 3', mRNA sequence
AM00500	DB761164 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10022O22 3', mRNA sequence
AM00500	DB761164 RIKEN full-length enriched honey bee cDNA library, head Apis mellifera cDNA clone BH10022O22 3', mRNA sequence
AM05971	GB13368-RA [PREDICTED: Apis mellifera lambda crystallin-like protein, transcript variant 1 (Cryl1), partial mRNA]
AM05971	GB13368-RA [PREDICTED: Apis mellifera lambda crystallin-like protein, transcript variant 1 (Cryl1), partial mRNA]
